,Date,BTC-USD,LTC-USD,NMC-USD,DOGE-USD,XRP-USD,DASH-USD,XMR-USD,XVG-USD,XLM-USD
185,2015-07-04,44156100.0,14069300.0,129804.0,241753.0,801046.0,98324.0,21263.0,2315.0,30745.0
186,2015-07-05,49154800.0,22969200.0,176686.0,428108.0,928027.0,91597.0,33776.0,7541.0,19319.0
187,2015-07-06,28857600.0,13570800.0,134270.0,242777.0,612402.0,77829.0,15739.0,7882.0,14883.0
188,2015-07-07,36980200.0,23234900.0,155491.0,346051.0,803026.0,71222.0,19413.0,1559.0,27219.0
189,2015-07-08,40301200.0,42419800.0,1254280.0,667083.0,935172.0,146037.0,32530.0,1576.0,19032.0
190,2015-07-09,100390000.0,62612600.0,1084280.0,1504540.0,1344950.0,607002.0,31812.0,1743.0,59968.0
191,2015-07-10,41109900.0,19647300.0,134956.0,413951.0,407434.0,396245.0,18728.0,2070.0,11058.0
192,2015-07-11,56405000.0,19203600.0,232685.0,374607.0,423951.0,136193.0,66012.0,1810.0,9505.0
193,2015-07-12,62053900.0,14296100.0,169409.0,403970.0,1023880.0,181667.0,17500.0,452.0,23801.0
194,2015-07-13,28727200.0,5418730.0,65522.0,200217.0,791771.0,71054.0,13521.0,699.0,11489.0
195,2015-07-14,27486600.0,7539760.0,41612.0,203396.0,572785.0,133041.0,20021.0,382.0,13358.0
196,2015-07-15,49482600.0,17295300.0,85712.0,394271.0,782856.0,87908.0,13229.0,852.0,14119.0
197,2015-07-16,27591400.0,9454510.0,40858.0,156356.0,299869.0,142970.0,10526.0,1661.0,12207.0
198,2015-07-17,25187100.0,8471440.0,76235.0,88979.0,68213.0,140104.0,15685.0,1143.0,2672.0
199,2015-07-18,15332500.0,4693260.0,17914.0,158401.0,85865.0,66114.0,15024.0,571.0,2580.0
200,2015-07-19,22711400.0,4242190.0,12652.0,117169.0,285165.0,73913.0,22420.0,728.0,6338.0
201,2015-07-20,22930700.0,4431730.0,29942.0,59467.0,525732.0,106480.0,44363.0,1825.0,23511.0
202,2015-07-21,19389800.0,2892200.0,28328.0,292748.0,367888.0,50817.0,28612.0,1257.0,19236.0
203,2015-07-22,18531300.0,2177740.0,13579.0,154598.0,182970.0,34491.0,36815.0,496.0,5114.0
204,2015-07-23,37199400.0,14874300.0,111343.0,201460.0,277406.0,129128.0,17108.0,1232.0,3959.0
205,2015-07-24,20662200.0,10288900.0,44329.0,170496.0,237028.0,64293.0,28011.0,602.0,31665.0
206,2015-07-25,16032300.0,7946990.0,12025.0,75824.0,233266.0,100372.0,19209.0,210.0,3878.0
207,2015-07-26,30592000.0,5164400.0,22197.0,109809.0,666090.0,105583.0,18318.0,386.0,12245.0
208,2015-07-27,25453600.0,10629300.0,83141.0,110059.0,143142.0,99350.0,31583.0,1357.0,17746.0
209,2015-07-28,24672600.0,6609040.0,37458.0,158187.0,174525.0,62902.0,23624.0,567.0,8951.0
210,2015-07-29,21635800.0,5420630.0,40589.0,70188.0,324219.0,49738.0,18356.0,1144.0,4348.0
211,2015-07-30,23629100.0,4640650.0,20538.0,137241.0,423581.0,69967.0,17852.0,2364.0,12919.0
212,2015-07-31,18995000.0,6284530.0,37807.0,157221.0,196429.0,63209.0,47982.0,291.0,11103.0
213,2015-08-01,17722200.0,6950580.0,21515.0,112603.0,206009.0,42888.0,58236.0,558.0,6687.0
214,2015-08-02,21474100.0,5494590.0,32667.0,98376.0,231262.0,56701.0,41078.0,3950.0,7155.0
215,2015-08-03,21908700.0,4323960.0,18569.0,52130.0,178712.0,93372.0,23130.0,3504.0,4294.0
216,2015-08-04,20128000.0,2565020.0,46389.0,63217.0,219269.0,55070.0,31532.0,2844.0,40512.0
217,2015-08-05,18792100.0,3879570.0,20442.0,88243.0,375521.0,48908.0,179684.0,2163.0,7126.0
218,2015-08-06,42484800.0,4192810.0,35993.0,100492.0,363643.0,229950.0,128615.0,3296.0,4101.0
219,2015-08-07,58533000.0,4917730.0,82680.0,145228.0,678295.0,91264.0,58680.0,501.0,22350.0
220,2015-08-08,23789600.0,3064680.0,38524.0,106400.0,531969.0,77488.0,101826.0,902.0,12956.0
221,2015-08-09,20979400.0,2239890.0,18913.0,68112.0,472973.0,59702.0,33307.0,861.0,17339.0
222,2015-08-10,25433900.0,3426300.0,28192.0,121884.0,282461.0,73134.0,69221.0,813.0,7245.0
223,2015-08-11,26815400.0,3519900.0,34585.0,68514.0,287463.0,113443.0,51925.0,122.0,21375.0
224,2015-08-12,27685500.0,2409030.0,18337.0,62385.0,202934.0,66249.0,51260.0,1235.0,9789.0
225,2015-08-13,27091200.0,3157170.0,8060.0,53715.0,423163.0,74860.0,49540.0,4606.0,11426.0
226,2015-08-14,19321100.0,2016290.0,28704.0,42531.0,176135.0,37005.0,49051.0,623.0,6685.0
227,2015-08-15,29717000.0,3197720.0,18815.0,163777.0,301654.0,46752.0,64263.0,362.0,15113.0
228,2015-08-16,21617900.0,2289060.0,11685.0,73157.0,337092.0,80183.0,45312.0,184.0,4373.0
229,2015-08-17,42147200.0,3464380.0,61724.0,88439.0,291729.0,83076.0,32718.0,1565.0,28468.0
230,2015-08-18,60869200.0,5742670.0,99696.0,147002.0,474702.0,74748.0,35406.0,183.0,36661.0
231,2015-08-19,32275000.0,2882900.0,18256.0,69654.0,215415.0,49346.0,69637.0,2321.0,13326.0
232,2015-08-20,23173800.0,1720630.0,22757.0,123419.0,265646.0,49749.0,40345.0,2158.0,13673.0
233,2015-08-21,23205900.0,1913720.0,9009.0,79829.0,182227.0,52550.0,22258.0,231.0,8307.0
234,2015-08-22,18406600.0,2066020.0,24331.0,39491.0,157580.0,30625.0,31062.0,206.0,2286.0
235,2015-08-23,59220700.0,7278630.0,55096.0,110942.0,546516.0,125485.0,77454.0,616.0,3367.0
236,2015-08-24,61089200.0,11404300.0,67836.0,122066.0,593316.0,69322.0,32249.0,1487.0,6407.0
237,2015-08-25,31808000.0,4551630.0,32420.0,107993.0,196124.0,37719.0,18296.0,532.0,5899.0
238,2015-08-26,21905400.0,1936130.0,11418.0,49657.0,202412.0,37604.0,22233.0,1074.0,4432.0
239,2015-08-27,31336600.0,4186540.0,27531.0,64854.0,414310.0,57595.0,24895.0,420.0,71683.0
240,2015-08-28,17142500.0,1706060.0,63898.0,49505.0,365144.0,39992.0,30004.0,434.0,74173.0
241,2015-08-29,19412600.0,1497480.0,32762.0,45347.0,408809.0,27911.0,19851.0,1213.0,45670.0
242,2015-08-30,20710700.0,1752920.0,9878.0,41405.0,635572.0,74703.0,20464.0,2499.0,32459.0
243,2015-08-31,20575200.0,1376040.0,8267.0,68704.0,401903.0,70243.0,13804.0,228.0,4818.0
244,2015-09-01,18760400.0,2423010.0,3822.0,41740.0,398976.0,60914.0,17633.0,460.0,25216.0
